,filename,name,pose,truncated,difficult,xmin,ymin,xmax,ymax,width,height
0,levle0_158.jpg,fore,Unspecified,0.0,0,1114,2435,1306,2589,192,154
1,levle0_158.jpg,fore,Unspecified,0.0,0,692,2274,861,2397,169,123
2,levle1_439.jpg,fore,Unspecified,0.0,0,922,2175,999,2290,77,115
3,levle1_439.jpg,fore,Unspecified,0.0,0,1198,2221,1344,2313,146,92
4,levle1_439.jpg,fore,Unspecified,0.0,0,662,1983,800,2106,138,123
5,levle1_439.jpg,fore,Unspecified,0.0,0,1489,2412,1643,2535,154,123
6,levle1_439.jpg,fore,Unspecified,0.0,0,2057,2006,2171,2121,114,115
7,levle1_439.jpg,fore,Unspecified,0.0,0,1589,2734,1742,2888,153,154
8,levle3_36.jpg,fore,,,0,1249,320,1346,439,97,119
9,levle3_36.jpg,fore,,,0,1188,342,1258,430,70,88
10,levle3_36.jpg,fore,,,0,1091,324,1148,417,57,93
11,levle3_36.jpg,fore,,,0,890,329,1004,417,114,88
12,levle3_36.jpg,fore,,,0,977,382,1061,465,84,83
13,levle3_36.jpg,fore,,,0,1078,474,1131,522,53,48
14,levle3_36.jpg,fore,,,0,1105,535,1179,627,74,92
15,levle3_36.jpg,fore,,,0,1205,496,1311,579,106,83
16,levle3_36.jpg,fore,,,0,784,439,846,526,62,87
17,levle3_36.jpg,fore,,,0,754,566,855,653,101,87
18,levle3_36.jpg,fore,,,0,697,592,802,710,105,118
19,levle3_36.jpg,fore,,,0,1030,649,1122,706,92,57
20,levle3_36.jpg,fore,,,0,1135,649,1170,728,35,79
21,levle3_36.jpg,fore,,,0,1184,693,1254,754,70,61
22,levle3_36.jpg,fore,,,0,1157,925,1227,978,70,53
23,levle3_36.jpg,fore,,,0,1429,754,1548,851,119,97
24,levle3_36.jpg,fore,,,0,469,811,583,912,114,101
25,levle3_36.jpg,fore,,,0,385,881,534,978,149,97
26,levle3_36.jpg,fore,,,0,635,1101,723,1189,88,88
27,levle3_36.jpg,fore,,,0,776,1057,894,1175,118,118
28,levle3_36.jpg,fore,,,0,951,1044,1131,1140,180,96
29,levle3_36.jpg,fore,,,0,425,1197,521,1281,96,84
30,levle3_36.jpg,fore,,,0,745,1171,837,1237,92,66
31,levle3_36.jpg,fore,,,0,675,1206,741,1294,66,88
32,levle3_36.jpg,fore,,,0,741,1224,841,1320,100,96
33,levle3_36.jpg,fore,,,0,517,1259,670,1373,153,114
34,levle3_36.jpg,fore,,,0,425,1377,548,1456,123,79
35,levle3_36.jpg,fore,,,0,574,1434,666,1517,92,83
36,levle3_36.jpg,fore,,,0,539,1544,653,1614,114,70
37,levle3_36.jpg,fore,,,0,534,1675,635,1763,101,88
38,levle3_36.jpg,fore,,,0,688,1456,784,1548,96,92
39,levle3_36.jpg,fore,,,0,640,1539,745,1662,105,123
40,levle3_36.jpg,fore,,,0,763,1408,885,1513,122,105
41,levle3_36.jpg,fore,,,0,798,1311,960,1412,162,101
42,levle3_36.jpg,fore,,,0,916,1272,1043,1342,127,70
43,levle3_36.jpg,fore,,,0,982,1346,1083,1447,101,101
44,levle3_36.jpg,fore,,,0,1144,1298,1192,1346,48,48
45,levle3_36.jpg,fore,,,0,1201,1360,1306,1465,105,105
46,levle3_36.jpg,fore,,,0,1026,1614,1122,1688,96,74
47,levle3_36.jpg,fore,,,0,802,1605,925,1688,123,83
48,levle3_36.jpg,fore,,,0,1298,1079,1434,1210,136,131
49,levle3_36.jpg,fore,,,0,968,867,1043,946,75,79
50,levle3_36.jpg,fore,,,0,934,967,1024,1058,90,91
51,levle3_36.jpg,fore,,,0,491,1031,559,1086,68,55
52,levle3_36.jpg,fore,,,0,391,1077,463,1144,72,67
53,levle3_36.jpg,fore,,,0,759,1698,845,1775,86,77
54,levle3_36.jpg,fore,,,0,849,1738,941,1819,92,81
55,levle3_36.jpg,fore,,,0,322,1398,403,1469,81,71
56,levle3_36.jpg,fore,,,0,1216,1179,1303,1263,87,84
57,levle3_36.jpg,fore,,,0,941,1525,1057,1631,116,106
58,levle3_36.jpg,fore,,,0,561,1148,651,1221,90,73
59,levle3_36.jpg,fore,,,0,393,958,478,1044,85,86
60,levle0_164.jpg,fore,Unspecified,0.0,0,800,2121,930,2282,130,161
61,levle0_164.jpg,fore,Unspecified,0.0,0,1091,2366,1267,2543,176,177
62,levle0_164.jpg,fore,Unspecified,0.0,0,1367,2857,1543,3041,176,184
63,levle1_377.jpg,fore,Unspecified,0.0,0,1313,2137,1497,2305,184,168
64,levle1_377.jpg,fore,Unspecified,0.0,0,1298,2320,1451,2443,153,123
65,levle1_377.jpg,fore,Unspecified,0.0,0,723,2251,892,2366,169,115
66,levle1_377.jpg,fore,Unspecified,0.0,0,761,2045,884,2221,123,176
